method,phase,seed,sensitivity_high,specificity_high,f1_high,exact_4_level_accuracy,cohens_kappa,context_chars
pure_llm,benchmark,0,0.32,0.7126,0.2759,0.2768,0.0456,0.0
pure_llm,benchmark,1,0.48,0.7241,0.3934,0.3482,0.1375,0.0
pure_llm,benchmark,2,0.36,0.7241,0.3103,0.2589,0.0161,0.0
pure_llm,benchmark,3,0.4,0.7471,0.3509,0.2946,0.0648,0.0
pure_llm,benchmark,4,0.52,0.6897,0.4,0.3393,0.131,0.0
naive_rag,benchmark,0,1.0,0.9425,0.9091,0.6071,0.5171,3643.8
naive_rag,benchmark,1,0.96,0.9425,0.8889,0.6339,0.5478,3643.8
naive_rag,benchmark,2,1.0,0.908,0.8621,0.5982,0.5017,3643.8
naive_rag,benchmark,3,1.0,0.908,0.8621,0.5536,0.4481,3643.8
naive_rag,benchmark,4,1.0,0.954,0.9259,0.6339,0.5468,3643.8
lightrag,benchmark,0,1.0,0.9195,0.8772,0.5982,0.5117,2433.9
lightrag,benchmark,1,1.0,0.931,0.8929,0.6161,0.5287,2469.6
lightrag,benchmark,2,1.0,0.9195,0.8772,0.625,0.5359,2475.4
lightrag,benchmark,3,1.0,0.9425,0.9091,0.5982,0.5134,2482.2
lightrag,benchmark,4,1.0,0.8966,0.8475,0.625,0.5355,2479.1
full_system,benchmark,0,0.88,0.9885,0.9167,0.7946,0.7154,7600.7
full_system,benchmark,1,0.84,0.977,0.875,0.8036,0.7279,7650.1
full_system,benchmark,2,0.88,0.9885,0.9167,0.8125,0.7402,7650.1
full_system,benchmark,3,0.88,1.0,0.9362,0.8214,0.7523,7650.1
full_system,benchmark,4,0.88,0.977,0.898,0.7946,0.7158,7650.1
