case_id,expert_id,expert_rating,system_output,expert_majority,llm_arbiter_decision,likert_clarity,likert_usefulness,likert_recommendation,likert_evidence,note
case1_unifocal_scheme,1,,,,against,,,,,
case1_unifocal_scheme,2,,,,against,,,,,
case1_unifocal_scheme,3,,,,against,,,,,
case1_unifocal_scheme,4,,,,against,,,,,
case2_psma_pet_upfront,1,,,,against,,,,,
case2_psma_pet_upfront,2,,,,against,,,,,
case2_psma_pet_upfront,3,,,,against,,,,,
case2_psma_pet_upfront,4,,,,against,,,,,
case3_bpmri_indeterminate,1,,,,endorse,,,,,
case3_bpmri_indeterminate,2,,,,endorse,,,,,
case3_bpmri_indeterminate,3,,,,endorse,,,,,
case3_bpmri_indeterminate,4,,,,endorse,,,,,
case4_advanced_route_prophylaxis,1,,,,endorse,,,,,
case4_advanced_route_prophylaxis,2,,,,endorse,,,,,
case4_advanced_route_prophylaxis,3,,,,endorse,,,,,
case4_advanced_route_prophylaxis,4,,,,endorse,,,,,
case5_infection_risk_escalation,1,,,,endorse_option,,,,,
case5_infection_risk_escalation,2,,,,endorse_option,,,,,
case5_infection_risk_escalation,3,,,,endorse_option,,,,,
case5_infection_risk_escalation,4,,,,endorse_option,,,,,
