case_id,entity_a_id,entity_b_id,patient_factors,rule_id,rule_severity,rule_mechanism,evidence_chunk_id,evidence_level,evidence_source,evidence_pmid,llm_arbiter_decision,final_risk_level
case1_unifocal_scheme,,d_scheme_unifocal_add_sbx; d_scheme_unifocal_tbx_plbx,lesion_small|mpmri|mri_3t|pirads_4_5|psa_elevated|pz_lesion|quality_adequate|unifocal|visible_lesion,biopsy_scheme_by_lesion_distribution,medium,scheme_selection,EV0024,D_review,SM2 / sm2_d2_systematic,,against,against
case1_unifocal_scheme,,d_scheme_unifocal_add_sbx; d_scheme_unifocal_tbx_plbx,lesion_small|mpmri|mri_3t|pirads_4_5|psa_elevated|pz_lesion|quality_adequate|unifocal|visible_lesion,,,,EV0004,D_review,Main text / introduction,,against,against
case1_unifocal_scheme,,d_scheme_unifocal_add_sbx; d_scheme_unifocal_tbx_plbx,lesion_small|mpmri|mri_3t|pirads_4_5|psa_elevated|pz_lesion|quality_adequate|unifocal|visible_lesion,,,,EV0027,D_review,SM2 / sm2_d3_planning,,against,against
case2_psma_pet_upfront,,d_reject_psma_pet_upfront,imaging_available|psa_elevated|psma_pet_available|suspicion_high,upfront_new_imaging_rejection,high,imaging_pathway,EV0045,B_consensus,Table 1 (Q19),,against,against
case2_psma_pet_upfront,,d_reject_psma_pet_upfront,imaging_available|psa_elevated|psma_pet_available|suspicion_high,,,,EV0043,B_consensus,Table 1 (Q17),,against,against
case2_psma_pet_upfront,,d_reject_psma_pet_upfront,imaging_available|psa_elevated|psma_pet_available|suspicion_high,,,,EV0044,B_consensus,Table 1 (Q18),,against,against
case3_bpmri_indeterminate,,d_contrast_mri_for_pz_indeterminate; d_followup_indeterminate_bpmri; d_psad_gate_bpmri_indeterminate,bpmri|indeterminate_lesion|pirads_3|psa_elevated|psad_high|quality_adequate,indeterminate_lesion_ancillary_workup,medium,ancillary_workup,EV0008,D_review,Main text / results_d1_ancillary,,endorse,endorse
case3_bpmri_indeterminate,,d_contrast_mri_for_pz_indeterminate; d_followup_indeterminate_bpmri; d_psad_gate_bpmri_indeterminate,bpmri|indeterminate_lesion|pirads_3|psa_elevated|psad_high|quality_adequate,,,,EV0035,B_consensus,Table 1 (Q10a),,endorse,endorse
case3_bpmri_indeterminate,,d_contrast_mri_for_pz_indeterminate; d_followup_indeterminate_bpmri; d_psad_gate_bpmri_indeterminate,bpmri|indeterminate_lesion|pirads_3|psa_elevated|psad_high|quality_adequate,,,,EV0288,C_rct_meta,SM2 ref 7,,endorse,endorse
case4_advanced_route_prophylaxis,,d_omit_abx_tp_no_risk; d_route_transperineal; d_sbx_reduced_6core_advanced,advanced_disease|locally_advanced_suspected|psa_gt_50|unfit_curative,advanced_disease_reduced_systematic_scheme,high,scheme_selection,EV0079,B_consensus,Table 2 (Q57),,endorse,endorse
case4_advanced_route_prophylaxis,,d_omit_abx_tp_no_risk; d_route_transperineal; d_sbx_reduced_6core_advanced,advanced_disease|locally_advanced_suspected|psa_gt_50|unfit_curative,route_anaesthesia_prophylaxis,high,perioperative,EV0320,C_rct_meta,SM2 ref 57,,endorse,endorse
case4_advanced_route_prophylaxis,,d_omit_abx_tp_no_risk; d_route_transperineal; d_sbx_reduced_6core_advanced,advanced_disease|locally_advanced_suspected|psa_gt_50|unfit_curative,PF-unfit_for_curative_treatment,,,EV0013,D_review,Main text / results_d2_route,,endorse,endorse
case5_infection_risk_escalation,,d_augmented_abx_tr; d_route_transperineal,infection_risk_factor|prior_negative_biopsy|psa_elevated,route_anaesthesia_prophylaxis,high,perioperative,EV0013,D_review,Main text / results_d2_route,,endorse_option,endorse_option
case5_infection_risk_escalation,,d_augmented_abx_tr; d_route_transperineal,infection_risk_factor|prior_negative_biopsy|psa_elevated,PF-immunocompromised_or_infection_history,,,EV0084,B_consensus,Table 2 (Q63),,endorse_option,endorse_option
case5_infection_risk_escalation,,d_augmented_abx_tr; d_route_transperineal,infection_risk_factor|prior_negative_biopsy|psa_elevated,PF-repeat_biopsy_setting,,,EV0083,B_consensus,Table 2 (Q62),,endorse_option,endorse_option
